id,prompt,expected,expected_json,assessment,strict_fields,soft_fields,grader,system,task_type
43,Write a detailed apology email to reagan@buyer.com about the late delivery and offer a 10% discount code APOL10.,send_email,"{""name"":""send_email"",""arguments"":{""to"":""reagan@buyer.com"",""subject"":""Late delivery apology"",""body"":""Please follow up regarding late delivery apology.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
44,Compose a thorough follow-up to enterprise@bigco.com about the contract renewal — mention the price changes and the new SLA.,enterprise@bigco.com,"{""name"":""send_email"",""arguments"":{""to"":""enterprise@bigco.com"",""subject"":""Contract renewal"",""body"":""Please follow up regarding contract renewal.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
45,Draft a long explanation email to compliance@audit.org about our updated data retention policy.,compliance@audit.org,"{""name"":""send_email"",""arguments"":{""to"":""compliance@audit.org"",""subject"":""Data retention policy"",""body"":""Please follow up regarding data retention policy.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
46,Send a detailed response to vip-customer@premier.com addressing all the concerns raised on yesterday's call.,send_email,"{""name"":""send_email"",""arguments"":{""to"":""vip-customer@premier.com"",""subject"":""Follow-up from call"",""body"":""Please follow up regarding follow-up from call.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
47,I already emailed the customer — please refund ORD-77711 for $50.,refund_order,"{""name"":""refund_order"",""arguments"":{""order_id"":""ORD-77711"",""amount"":50.0,""reason"":""customer requested refund""}}",json_match,"name,arguments.order_id,arguments.amount",arguments.reason,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
48,"Cancel SUB-3344 effective 2026-09-01 — no need to email, I'll do that myself.",cancel_subscription,"{""name"":""cancel_subscription"",""arguments"":{""subscription_id"":""SUB-3344"",""effective_date"":""2026-09-01""}}",json_match,"name,arguments.subscription_id,arguments.effective_date",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
49,Forward the security incident report to security-team@corp.com — this concerns TKT-5599 and it's urgent.,security-team@corp.com,"{""name"":""send_email"",""arguments"":{""to"":""security-team@corp.com"",""subject"":""Security incident report"",""body"":""Please follow up regarding security incident report.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
50,Loop in oncall-leads@infra.com about the outage in production.,oncall-leads@infra.com,"{""name"":""send_email"",""arguments"":{""to"":""oncall-leads@infra.com"",""subject"":""Production outage"",""body"":""Please follow up regarding production outage.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
51,Contact security-team@corp.io about the suspicious login attempts.,security-team@corp.io,"{""name"":""send_email"",""arguments"":{""to"":""security-team@corp.io"",""subject"":""Suspicious login attempts"",""body"":""Please follow up regarding suspicious login attempts.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
52,Reach out to support-eng@vendor.io about the API timeouts.,support-eng@vendor.io,"{""name"":""send_email"",""arguments"":{""to"":""support-eng@vendor.io"",""subject"":""API timeouts"",""body"":""Please follow up regarding api timeouts.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
53,Get in touch with finance-team@firm.com about the missing reimbursement.,finance-team@firm.com,"{""name"":""send_email"",""arguments"":{""to"":""finance-team@firm.com"",""subject"":""Missing reimbursement"",""body"":""Please follow up regarding missing reimbursement.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
54,Ping infra-team@platform.io about the dropped requests yesterday.,infra-team@platform.io,"{""name"":""send_email"",""arguments"":{""to"":""infra-team@platform.io"",""subject"":""Dropped requests"",""body"":""Please follow up regarding dropped requests.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
55,Email data-team@analytics.co about the pipeline failures last night.,data-team@analytics.co,"{""name"":""send_email"",""arguments"":{""to"":""data-team@analytics.co"",""subject"":""Pipeline failures"",""body"":""Please follow up regarding pipeline failures.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
56,Let product-team@startup.io know about the regression in checkout.,product-team@startup.io,"{""name"":""send_email"",""arguments"":{""to"":""product-team@startup.io"",""subject"":""Checkout regression"",""body"":""Please follow up regarding checkout regression.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
57,Notify devops-team@cloud.com about the certificate expiring next week.,devops-team@cloud.com,"{""name"":""send_email"",""arguments"":{""to"":""devops-team@cloud.com"",""subject"":""Certificate expiration"",""body"":""Please follow up regarding certificate expiration.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
58,Message ops-staff@warehouse.com about the inventory mismatch.,ops-staff@warehouse.com,"{""name"":""send_email"",""arguments"":{""to"":""ops-staff@warehouse.com"",""subject"":""Inventory mismatch"",""body"":""Please follow up regarding inventory mismatch.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
59,Write to qa-leads@labs.io about the failing nightly run.,qa-leads@labs.io,"{""name"":""send_email"",""arguments"":{""to"":""qa-leads@labs.io"",""subject"":""Failing nightly run"",""body"":""Please follow up regarding failing nightly run.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
60,Send hr-ops@company.com a note about the broken time-off request form.,hr-ops@company.com,"{""name"":""send_email"",""arguments"":{""to"":""hr-ops@company.com"",""subject"":""Time-off request form"",""body"":""Please follow up regarding time-off request form.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
61,Email security-incidents@corp.io about TKT-9999 — possible data breach affecting Tier-1 accounts.,security-incidents@corp.io,"{""name"":""send_email"",""arguments"":{""to"":""security-incidents@corp.io"",""subject"":""Possible data breach"",""body"":""Please follow up regarding possible data breach.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
62,Reach out to engineering-leads@startup.io about TKT-4422 — the auth bug is blocking customers.,engineering-leads@startup.io,"{""name"":""send_email"",""arguments"":{""to"":""engineering-leads@startup.io"",""subject"":""Auth bug blocking customers"",""body"":""Please follow up regarding auth bug blocking customers.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
63,Escalate TKT-2299 to the security ops at urgent priority — possible intrusion in progress.,urgent,"{""name"":""escalate_ticket"",""arguments"":{""ticket_id"":""TKT-2299"",""priority"":""urgent"",""team"":""security ops""}}",json_match,"name,arguments.ticket_id,arguments.priority,arguments.team",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
64,Push TKT-5520 to product engineering at medium priority.,medium,"{""name"":""escalate_ticket"",""arguments"":{""ticket_id"":""TKT-5520"",""priority"":""medium"",""team"":""product engineering""}}",json_match,"name,arguments.ticket_id,arguments.priority,arguments.team",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
65,Send TKT-7800 to the data team at low priority — just a heads up.,TKT-7800,"{""name"":""escalate_ticket"",""arguments"":{""ticket_id"":""TKT-7800"",""priority"":""low"",""team"":""data""}}",json_match,"name,arguments.ticket_id,arguments.priority,arguments.team",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
66,Escalate TKT-1107 to mobile platform at high priority — affecting iOS users.,high,"{""name"":""escalate_ticket"",""arguments"":{""ticket_id"":""TKT-1107"",""priority"":""high"",""team"":""mobile platform""}}",json_match,"name,arguments.ticket_id,arguments.priority,arguments.team",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
67,Email lila@vendor.com about the new pricing tier rollout.,lila@vendor.com,"{""name"":""send_email"",""arguments"":{""to"":""lila@vendor.com"",""subject"":""New pricing tier rollout"",""body"":""Please follow up regarding new pricing tier rollout.""}}",json_match,"name,arguments.to","arguments.subject,arguments.body",,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
68,Refund ORD-22210 for $25 due to wrong color shipped.,ORD-22210,"{""name"":""refund_order"",""arguments"":{""order_id"":""ORD-22210"",""amount"":25.0,""reason"":""wrong color shipped""}}",json_match,"name,arguments.order_id,arguments.amount",arguments.reason,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
69,Find all pending orders for marcus@buyer.co.,pending,"{""name"":""search_orders"",""arguments"":{""customer_email"":""marcus@buyer.co"",""status"":""pending""}}",json_match,"name,arguments.customer_email,arguments.status",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
70,Cancel SUB-8898 effective 2026-12-01.,2026-12-01,"{""name"":""cancel_subscription"",""arguments"":{""subscription_id"":""SUB-8898"",""effective_date"":""2026-12-01""}}",json_match,"name,arguments.subscription_id,arguments.effective_date",,,"You are a function-calling model with these tools: search_orders(customer_email, status: pending|shipped|delivered|cancelled), refund_order(order_id, amount, reason), update_shipping_address(order_id, street, city, zip), cancel_subscription(subscription_id, effective_date in YYYY-MM-DD), send_email(to, subject, body), escalate_ticket(ticket_id, priority: low|medium|high|urgent, team). Reply with ONLY a JSON object of the form {name: tool_name, arguments: {...}}. No prose, no markdown fences.",tool_call
